Rows,Tgt. X,Tgt. Y,Tgt. Z,Act. X,Act. Y,Act. Z,Pos Error,Tgt. Roll,Tgt. Pitch,Tgt. Yaw,Act. Roll,Act. Pitch,Act. Yaw,Tgt. q1,Tgt. q2,Tgt. q3,Tgt. q4,Act. q1,Act. q2,Act. q3,Act. q4,Gimbal lock,IK Iterations,IK Timestamp,Solve Status,theta1,theta2,theta3,theta4,theta5,theta6,time_stay,Servo Status,Angular RMSE
0,220.0,-44.94,281.919,220.259,-44.989,282.048,0.29381744267666693,34.78600320913077,2.4410257778205238,-12.385079295723632,38.16,0.177,-12.071,0.947806589428329,0.2993052040377335,-0.012029780601651503,-0.1092444426542874,0.939771,0.325225,-0.032919,-0.099871,False,0,95.61322927474976,True,-11.035,-34.489,-56.456,-2.747,22.167,40.707,0.03,2,70.69274488941564
1,220.0,-47.553,275.451,219.853,-45.927,279.001,3.90744474399824,31.391795336591073,4.682620427953832,-12.832895620908516,35.45,1.996,-12.296,0.9546468572319567,0.27300761666839785,0.00887471014139734,-0.11847978198028247,0.946338,0.304429,-0.016105,-0.107273,False,2999,102.14918494224548,False,-11.318633776428726,-38.3673107568282,-62.9137182323789,-2.185871469469447,26.559519652162777,37.43951047848907,0.03,2,79.17375869146143
2,220.0,-49.24,268.682,219.862,-49.005,269.08,0.4822856724954602,27.9666629728728,6.893670684330592,-13.415335589470162,28.423,6.602,-13.322,0.9602836575028642,0.24636586454289428,0.029768013055735943,-0.12756576076544834,0.959615,0.249917,0.027013,-0.126298,False,2999,109.03697347640991,False,-11.846298694047107,-38.8127900702797,-62.774511326588566,-2.880485816203958,30.597615699222075,31.072906877819065,0.03,2,80.82028225077426
3,220.0,-49.97,261.745,220.003,-49.899,262.034,0.29781533886014344,24.50055108615539,9.06590458408215,-14.13359233367209,24.7,8.943,-14.089,0.964709884256191,0.21941353336200292,0.050623789174742015,-0.13649092484703565,0.96449,0.22096,0.049436,-0.135984,False,155,109.4859528541565,True,-11.552013950022342,-30.676937019905893,-48.45504722318307,-5.557128553114751,26.838490926343383,30.056023905199766,0.03,2,64.6034160519778
4,220.0,-49.726,254.774,220.002,-49.675,255.066,0.29627481371242675,20.983680814977284,11.190796834011103,-14.989189744758768,21.174,11.078,-14.94,0.9679199576064015,0.1921846003553786,0.07141574683963228,-0.14524402279199872,0.967779,0.193652,0.070303,-0.144777,False,187,109.96293330192566,True,-10.674604514370344,-26.896030224961123,-41.1364435308825,-9.69966545670897,25.669216028952377,30.752843627525834,0.03,2,57.293479308581205
5,220.0,-48.515,247.904,220.001,-48.484,248.202,0.2997370078467307,17.40663676408112,13.259520866422497,-15.983849186085726,17.596,13.152,-15.928,0.9699098308015216,0.1647133914484416,0.09211767484382091,-0.15381402008102005,0.969836,0.166162,0.091032,-0.153367,False,217,110.50150680541992,True,-9.239160604905862,-24.364497508717506,-35.79227340133386,-15.298031768754356,25.460152041400022,32.99743627758721,0.03,2,53.313476539618016
6,220.0,-46.359,241.27,220.001,-46.349,241.57,0.2997152680565439,13.760487923263048,15.262912416517905,-17.119322325424523,13.95,15.161,-17.057,0.9706769953246406,0.13703453798968862,0.11270347547585677,-0.1621901130190844,0.970668,0.138467,0.111643,-0.161762,False,248,111.09958148002625,True,-7.2732015718083005,-22.673160803616696,-31.76081098545609,-21.877071035278334,26.115432269894086,36.35891250240343,0.03,2,52.31006438641348
7,220.0,-43.301,235.0,220.001,-43.312,235.297,0.29733062189645043,10.036947433894586,17.191448283473278,-18.397185933705785,10.228,17.095,-18.329,0.9702204840562538,0.1091829330929745,0.13314719741928396,-0.1703617423550659,0.970274,0.110598,0.132111,-0.169952,False,281,111.77499794960022,True,-4.820613852345588,-21.764723808657465,-28.939504114095257,-28.703948848336154,27.701189175345974,40.13188739862929,0.03,2,54.08982325693537
